model_id,rule_count,example_count,scenario,correct_output_format,tool_coverage,edge_coverage,false_tool_count,false_edge_count,dag_graph_edit_distance
-4,1,0,1,0,0,0,0,0,NA
-4,1,1,1,0,0,0,0,0,NA
-4,1,2,1,0,0,0,0,0,NA
-4,1,3,1,1,1,1,0,0,0
-4,2,0,1,1,1,0,2,3,4
-4,2,1,1,0,0,0,0,0,NA
-4,2,2,1,1,1,1,1,1,2
-4,2,3,1,1,1,1,0,0,0
-4,3,0,1,0,0,0,0,0,NA
-4,3,1,1,1,1,1,4,3,7
-4,3,2,1,0,0,0,0,0,NA
-4,3,3,1,1,1,1,0,0,0
-4,4,0,1,1,1,1,1,1,2
-4,4,1,1,1,1,0,4,4,7
-4,4,2,1,0,0,0,0,0,NA
-4,4,3,1,0,0,0,0,0,NA
-4,5,0,1,0,0,0,0,0,NA
-4,5,1,1,0,0,0,0,0,NA
-4,5,2,1,0,0,0,0,0,NA
-4,5,3,1,1,1,1,0,0,0
-4,6,0,1,0,0,0,0,0,NA
-4,6,1,1,1,1,0,4,4,7
-4,6,2,1,0,0,0,0,0,NA
-4,6,3,1,1,1,1,0,0,0
-4,7,0,1,0,0,0,0,0,NA
-4,7,1,1,0,0,0,0,0,NA
-4,7,2,1,0,0,0,0,0,NA
-4,7,3,1,1,1,1,0,0,0
-4,8,0,1,1,1,0,4,4,7
-4,8,1,1,0,0,0,0,0,NA
-4,8,2,1,1,1,0,2,2,3
-4,8,3,1,1,1,1,0,0,0
-4,9,0,1,1,1,0,4,4,7
-4,9,1,1,1,1,0,4,4,7
-4,9,2,1,0,0,0,0,0,NA
-4,9,3,1,1,1,1,0,0,0
-4,10,0,1,0,0,0,0,0,NA
-4,10,1,1,0,0,0,0,0,NA
-4,10,2,1,1,0,0,0,0,3
-4,10,3,1,1,1,1,0,0,0
-4,11,0,1,0,0,0,0,0,NA
-4,11,1,1,0,0,0,0,0,NA
-4,11,2,1,0,0,0,0,0,NA
-4,11,3,1,1,1,1,0,0,0
-4,12,0,1,1,1,1,4,3,7
-4,12,1,1,0,0,0,0,0,NA
-4,12,2,1,1,1,0,4,4,7
-4,12,3,1,1,1,1,0,0,0
-4,13,0,1,0,0,0,0,0,NA
-4,13,1,1,0,0,0,0,0,NA
-4,13,2,1,0,0,0,0,0,NA
-4,13,3,1,0,0,0,0,0,NA
-4,1,0,2,0,0,0,0,0,NA
-4,1,1,2,1,1,1,0,0,0
-4,1,2,2,1,1,1,0,0,0
-4,1,3,2,1,1,0.5,0,2,4
-4,2,0,2,0,0,0,0,0,NA
-4,2,1,2,0,0,0,0,0,NA
-4,2,2,2,1,1,1,0,0,0
-4,2,3,2,1,1,1,0,0,0
-4,3,0,2,0,0,0,0,0,NA
-4,3,1,2,0,0,0,0,0,NA
-4,3,2,2,1,1,1,0,0,0
-4,3,3,2,1,1,1,0,2,2
-4,4,0,2,0,0,0,0,0,NA
-4,4,1,2,1,1,1,0,0,0
-4,4,2,2,1,1,1,0,0,0
-4,4,3,2,1,1,1,0,0,0
-4,5,0,2,0,0,0,0,0,NA
-4,5,1,2,1,1,1,0,0,0
-4,5,2,2,1,1,1,0,0,0
-4,5,3,2,1,1,1,0,0,0
-4,6,0,2,0,0,0,0,0,NA
-4,6,1,2,1,1,1,0,0,0
-4,6,2,2,1,1,1,0,0,0
-4,6,3,2,1,1,1,0,0,0
-4,7,0,2,0,0,0,0,0,NA
-4,7,1,2,0,0,0,0,0,NA
-4,7,2,2,1,1,1,0,0,0
-4,7,3,2,1,1,1,0,2,2
-4,8,0,2,0,0,0,0,0,NA
-4,8,1,2,0,0,0,0,0,NA
-4,8,2,2,1,1,1,0,0,0
-4,8,3,2,1,1,1,0,0,0
-4,9,0,2,0,0,0,0,0,NA
-4,9,1,2,0,0,0,0,0,NA
-4,9,2,2,1,1,1,0,2,2
-4,9,3,2,1,1,1,0,0,0
-4,10,0,2,0,0,0,0,0,NA
-4,10,1,2,1,1,1,0,0,0
-4,10,2,2,1,1,1,0,2,2
-4,10,3,2,1,1,1,0,0,0
-4,11,0,2,0,0,0,0,0,NA
-4,11,1,2,1,1,1,0,0,0
-4,11,2,2,0,0,0,0,0,NA
-4,11,3,2,1,1,1,0,0,0
-4,12,0,2,0,0,0,0,0,NA
-4,12,1,2,1,1,1,0,0,0
-4,12,2,2,1,1,1,0,0,0
-4,12,3,2,1,1,1,0,0,0
-4,13,0,2,1,1,1,0,0,0
-4,13,1,2,0,0,0,0,0,NA
-4,13,2,2,1,1,1,0,0,0
-4,13,3,2,1,1,1,0,2,2
