model_id,rule_count,example_count,scenario,correct_output_format,tool_coverage,edge_coverage,false_tool_count,false_edge_count,dag_graph_edit_distance
-1,1,0,1,1,1,1,5,4,9
-1,1,1,1,1,1,1,2,2,4
-1,1,2,1,1,1,1,1,1,2
-1,1,3,1,1,1,1,1,1,2
-1,2,0,1,1,1,1,6,10,16
-1,2,1,1,1,1,1,2,2,4
-1,2,2,1,1,1,0,2,3,4
-1,2,3,1,1,1,1,1,1,2
-1,3,0,1,1,1,1,4,4,8
-1,3,1,1,1,1,1,2,2,4
-1,3,2,1,1,1,0,2,3,4
-1,3,3,1,1,1,1,1,1,2
-1,4,0,1,1,1,1,5,4,9
-1,4,1,1,1,1,1,2,2,4
-1,4,2,1,1,1,1,1,1,2
-1,4,3,1,1,1,1,1,1,2
-1,5,0,1,1,1,1,5,4,9
-1,5,1,1,1,1,1,2,2,4
-1,5,2,1,1,1,1,3,3,6
-1,5,3,1,1,1,1,0,0,0
-1,6,0,1,1,1,1,5,5,10
-1,6,1,1,1,1,1,3,3,6
-1,6,2,1,1,1,0,2,2,3
-1,6,3,1,1,1,1,1,1,2
-1,7,0,1,1,1,1,15,16,31
-1,7,1,1,1,1,1,3,3,6
-1,7,2,1,0,0,0,0,0,NA
-1,7,3,1,1,1,1,1,1,2
-1,8,0,1,1,1,1,9,9,18
-1,8,1,1,1,0.5,1,6,5,10
-1,8,2,1,1,1,0,3,3,5
-1,8,3,1,1,1,1,0,0,0
-1,9,0,1,1,1,1,5,4,9
-1,9,1,1,1,1,1,8,8,16
-1,9,2,1,1,1,0,3,3,5
-1,9,3,1,1,1,1,1,0,1
-1,10,0,1,1,1,1,14,8,22
-1,10,1,1,0,0,0,0,0,NA
-1,10,2,1,1,1,0,2,3,4
-1,10,3,1,1,1,1,1,0,1
-1,11,0,1,1,1,1,15,15,30
-1,11,1,1,1,1,1,3,2,5
-1,11,2,1,1,1,0,2,3,4
-1,11,3,1,1,1,1,1,0,1
-1,12,0,1,1,1,1,16,8,24
-1,12,1,1,1,1,1,2,2,4
-1,12,2,1,1,1,0,2,3,4
-1,12,3,1,1,1,1,1,0,1
-1,13,0,1,1,1,1,16,9,25
-1,13,1,1,1,1,1,2,2,4
-1,13,2,1,1,1,0,3,4,6
-1,13,3,1,1,1,1,1,0,1
-1,1,0,2,1,0.375,0.25,2,5,9
-1,1,1,2,1,1,0,0,4,4
-1,1,2,2,1,1,0.5,0,2,4
-1,1,3,2,1,1,1,0,1,1
-1,2,0,2,1,0.375,0,3,4,4
-1,2,1,2,1,1,0,0,8,NA
-1,2,2,2,1,1,0.5,0,2,4
-1,2,3,2,1,1,0.5,0,2,4
-1,3,0,2,1,0.625,0,4,5,NA
-1,3,1,2,1,1,0.5,0,6,NA
-1,3,2,2,1,1,0.5,0,2,4
-1,3,3,2,1,1,0.5,0,2,4
-1,4,0,2,1,0.375,0,3,5,5
-1,4,1,2,1,1,0.5,0,6,NA
-1,4,2,2,1,1,0.5,0,2,4
-1,4,3,2,1,1,0.5,0,2,4
-1,5,0,2,1,0.375,0.25,4,6,6
-1,5,1,2,1,1,0,0,8,NA
-1,5,2,2,1,1,0.5,0,2,4
-1,5,3,2,1,1,0.5,0,2,4
-1,6,0,2,1,0.375,0.25,4,7,7
-1,6,1,2,1,1,0,0,8,NA
-1,6,2,2,1,1,0.5,0,2,4
-1,6,3,2,1,1,0.5,0,2,4
-1,7,0,2,1,0.375,0,2,4,5
-1,7,1,2,1,1,1,0,4,4
-1,7,2,2,1,1,0.5,0,2,4
-1,7,3,2,1,1,0.5,0,2,4
-1,8,0,2,1,1,0,4,6,10
-1,8,1,2,1,1,1,0,4,4
-1,8,2,2,1,1,0.5,0,2,4
-1,8,3,2,1,1,0.5,0,2,4
-1,9,0,2,1,0.375,0,2,4,5
-1,9,1,2,1,1,1,0,4,4
-1,9,2,2,1,1,0.5,0,2,4
-1,9,3,2,1,1,0.5,0,2,4
-1,10,0,2,1,0.875,0,3,7,5
-1,10,1,2,1,1,0.5,0,6,NA
-1,10,2,2,1,1,1,0,2,2
-1,10,3,2,1,1,1,0,0,0
-1,11,0,2,1,0.375,0,2,4,5
-1,11,1,2,1,1,0.5,0,6,NA
-1,11,2,2,1,1,0.5,0,2,4
-1,11,3,2,1,1,1,0,0,0
-1,12,0,2,1,0.375,0,1,5,9
-1,12,1,2,1,1,1,0,4,4
-1,12,2,2,1,1,1,0,0,0
-1,12,3,2,1,1,1,0,0,0
-1,13,0,2,0,0,0,0,0,NA
-1,13,1,2,1,1,1,0,4,4
-1,13,2,2,1,1,0.5,0,2,4
-1,13,3,2,1,1,1,0,0,0
